0,28844
1,27667
2,14742
3,28089
4,11713
5,28591
6,17385
7,26197
8,17611
9,12841
10,25063
11,20434
12,29434
13,12263
14,26824
15,12754
16,21692
17,27919
18,17938
19,20928
20,23496
21,18413
22,10912
23,12828
24,29931
25,13654
26,15034
27,12570
28,26102
29,24685
30,23872
31,12347
32,23845
33,23378
34,21413
35,29792
36,27443
37,15816
38,27155
39,26622
40,20730
41,26643
42,13185
43,10723
44,16346
45,26343
46,28108
47,10799
48,23595
49,10916
50,10502
51,25648
52,15105
53,21383
54,27172
55,14521
56,29454
57,11614
58,15908
59,19671
60,28253
61,26684
62,19815
63,26048
64,23185
65,25847
66,16604
67,20984
68,24527
69,29431
70,26539
71,19772
72,10198
73,25890
74,21734
75,18818
76,16117
77,29449
78,19946
79,19788
80,28233
81,25647
82,10560
83,20143
84,22915
85,20389
86,10915
87,29924
88,11671
89,23736
90,21132
91,11408
92,14471
93,17744
94,20573
95,11417
96,12126
97,16390
98,23738
99,14613
