Unnamed: 0,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
48462598,2015-05-07 10:24:44.0000004,13.0,2015-05-07 10:24:44 UTC,-73.97166442871094,40.79703521728516,-73.95893859863281,40.77764892578125,1
6637611,2014-07-09 09:14:04.0000002,5.5,2014-07-09 09:14:04 UTC,-73.991635,40.749855,-73.98825,40.741341,2
8357193,2013-11-11 18:51:00.000000240,8.5,2013-11-11 18:51:00 UTC,-73.982352,40.777042,-73.995912,40.759757,1
40466112,2014-05-22 01:54:00.00000069,19.0,2014-05-22 01:54:00 UTC,-73.991455,40.7517,-73.936357,40.812327,1
35405035,2011-06-21 23:37:33.0000002,7.7,2011-06-21 23:37:33 UTC,-73.974749,40.756255,-73.952276,40.778332,1
39676296,2013-11-02 12:25:59.0000002,7.0,2013-11-02 12:25:59 UTC,-73.983542,40.755669,-73.99963699999999,40.759253,1
1552498,2011-02-14 10:46:44.0000003,7.7,2011-02-14 10:46:44 UTC,-73.953213,40.766896,-73.969492,40.763725,1
1361092,2011-11-16 00:31:47.0000001,8.9,2011-11-16 00:31:47 UTC,-73.99165,40.750011,-73.981115,40.773469,2
27494421,2012-10-12 21:52:00.000000308,51.5,2012-10-12 21:52:00 UTC,-73.783333,40.648605,-73.99645,40.69803,3
52104793,2014-02-20 18:14:47.0000006,11.5,2014-02-20 18:14:47 UTC,-73.988603,40.747792,-73.999261,40.74728,1
47563939,2015-05-27 08:28:25.0000001,8.0,2015-05-27 08:28:25 UTC,-73.99137878417969,40.7500114440918,-74.0081558227539,40.7303581237793,1
16261608,2012-04-16 17:59:00.000000168,8.9,2012-04-16 17:59:00 UTC,-74.006332,40.751292,-74.012957,40.717365,1
30226931,2010-07-08 15:24:37.0000001,8.5,2010-07-08 15:24:37 UTC,-73.955966,40.778947,-73.968939,40.754525,1
16954629,2010-01-12 08:23:48.0000001,13.3,2010-01-12 08:23:48 UTC,-74.017799,40.706547,-73.978726,40.736732,1
3069862,2009-12-30 22:07:54.0000002,4.9,2009-12-30 22:07:54 UTC,-73.976375,40.755096,-73.979834,40.763402,1
5121339,2014-11-01 18:41:36.0000004,12.5,2014-11-01 18:41:36 UTC,-73.991732,40.735206,-73.989788,40.756262,1
31455484,2010-01-08 00:56:00.00000014,17.3,2010-01-08 00:56:00 UTC,-73.99110999999999,40.755848,-73.888912,40.751338,5
450540,2012-04-15 19:07:00.00000032,3.7,2012-04-15 19:07:00 UTC,-73.985628,40.75293,-73.980133,40.76073,6
2010312,2014-01-26 13:27:52.0000004,8.0,2014-01-26 13:27:52 UTC,-73.991561,40.750034,-73.987821,40.760068,1
49673723,2015-06-22 01:13:06.0000002,52.0,2015-06-22 01:13:06 UTC,-73.79045867919923,40.64683151245117,-73.97222137451173,40.7534294128418,1
31638357,2013-11-01 22:06:50.0000002,18.5,2013-11-01 22:06:50 UTC,-74.000771,40.7291,-73.965238,40.772656,2
55269022,2012-12-27 18:27:00.000000137,13.0,2012-12-27 18:27:00 UTC,-73.98848199999999,40.738382,-73.98357,40.760497,4
35960558,2009-11-07 10:02:48.0000004,26.27,2009-11-07 10:02:48 UTC,-73.95894399999999,40.76812,-73.872936,40.774467,1
36823263,2013-11-16 04:17:00.00000076,10.5,2013-11-16 04:17:00 UTC,-74.00030799999999,40.714842,-73.978928,40.736255,1
23497307,2011-03-13 17:34:15.0000003,8.1,2011-03-13 17:34:15 UTC,-73.997843,40.756151,-73.978988,40.786852,1
36392479,2014-08-17 14:57:00.00000061,8.0,2014-08-17 14:57:00 UTC,-73.98774300000001,40.752072,-73.984445,40.761522,1
53334331,2010-05-16 00:03:50.0000001,12.9,2010-05-16 00:03:50 UTC,-74.003253,40.731727,-73.957943,40.773726,2
